record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,25.4,9.7,162,LE,885.6,853.7,4,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,35.7,6.4,457,LE,311.7,578.1,-46,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,17.6,11.9,48,E,1365.9,999.8,37,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,27.7,9.3,198,LE,715.9,864.5,-17,N
STATE,ARUNACHAL PRADESH,,,10.9,9.3,17,N,651.6,1025.1,-36,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,13.1,-100,NR,117.3,1002.5,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.0,10.2,-100,NR,676.9,815.1,-17,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,21.8,6.2,251,LE,944.7,735.2,28,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,1.0,21.4,-95,LD,1653.9,1985.4,-17,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,16.8,4.3,291,LE,354.4,702.5,-50,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,6.9,11.2,-38,D,642.1,970.6,-34,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,38.1,5.4,606,LE,273.2,430.8,-37,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,28.8,17.9,61,LE,1158.2,1383.7,-16,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,11.1,2.5,342,LE,192.3,572.2,-66,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,7.0,10.1,-31,D,1377.2,1219.1,13,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,12.7,3.9,226,LE,813.0,1029.4,-21,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,2.7,-100,NR,264.1,569.5,-54,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,22.8,12.2,87,LE,305.1,1018.5,-70,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,13.7,14.2,-4,N,475.3,1233.7,-61,LD
STATE,ASSAM & MEGHALAYA,,,12.9,12.3,5,N,685.5,1088.1,-37,D
STATE,ASSAM,,,11.2,10.1,11,N,671.3,901.8,-26,D
DISTRICT,ASSAM,1,BAJALI,0.0,8.4,-100,NR,804.0,1377.6,-42,D
DISTRICT,ASSAM,2,BAKSA,12.0,7.1,69,LE,847.6,1008.8,-16,N
DISTRICT,ASSAM,3,BARPETA,0.0,8.4,-100,NR,972.3,1377.6,-29,D
DISTRICT,ASSAM,5,BONGAIGAON,0.0,7.3,-100,NR,688.6,1537.5,-55,D
DISTRICT,ASSAM,6,CACHAR,11.1,13.5,-17,N,1024.0,1084.8,-6,N
DISTRICT,ASSAM,7,CHARAIDEO,5.0,5.2,-4,N,824.0,561.9,47,E
DISTRICT,ASSAM,8,CHIRANG,4.4,14.5,-70,LD,861.0,1504.8,-43,D
DISTRICT,ASSAM,9,DARRANG,15.3,7.5,103,LE,417.9,815.0,-49,D
DISTRICT,ASSAM,10,DHEMAJI,18.4,14.4,28,E,1467.5,1234.9,19,N
DISTRICT,ASSAM,11,DHUBRI,52.3,13.9,276,LE,937.1,1352.4,-31,D
DISTRICT,ASSAM,12,DIBRUGARH,4.7,13.8,-66,LD,795.6,881.9,-10,N
DISTRICT,ASSAM,13,DIMA HASAO,8.5,9.2,-7,N,276.2,670.6,-59,D
DISTRICT,ASSAM,14,GOALPARA,4.5,12.3,-64,LD,550.9,1276.2,-57,D
DISTRICT,ASSAM,15,GOLAGHAT,18.4,6.3,192,LE,504.4,601.0,-16,N
DISTRICT,ASSAM,16,HAILAKANDI,0.0,10.1,-100,NR,704.0,910.9,-23,D
DISTRICT,ASSAM,17,HOJAI,0.0,6.3,-100,NR,237.6,432.2,-45,D
DISTRICT,ASSAM,18,JORHAT,27.5,8.1,239,LE,542.5,716.0,-24,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,30.2,6.1,395,LE,516.4,654.3,-21,D
DISTRICT,ASSAM,20,KAMRUP RURAL,15.2,6.9,120,LE,293.4,807.6,-64,LD
DISTRICT,ASSAM,21,KARBI ANGLONG,0.0,5.6,-100,NR,284.5,469.5,-39,D
DISTRICT,ASSAM,22,KOKRAJHAR,19.0,22.9,-17,N,1590.3,1725.1,-8,N
DISTRICT,ASSAM,23,LAKHIMPUR,22.9,14.5,58,E,1507.4,1207.4,25,E
DISTRICT,ASSAM,25,MORIGAON,18.1,10.7,69,LE,348.2,654.9,-47,D
DISTRICT,ASSAM,26,NAGAON,1.0,10.6,-91,LD,258.9,604.2,-57,D
DISTRICT,ASSAM,27,NALBARI,0.8,6.9,-88,LD,390.3,1012.0,-61,LD
DISTRICT,ASSAM,28,SIBSAGAR,15.6,6.7,133,LE,497.6,698.0,-29,D
DISTRICT,ASSAM,29,SONITPUR,38.3,5.6,584,LE,646.9,698.7,-7,N
DISTRICT,ASSAM,31,SRIBHUMI,0.0,16.8,-100,NR,1096.0,1317.9,-17,N
DISTRICT,ASSAM,32,TAMULPUR,13.4,5.3,152,LE,871.7,894.8,-3,N
DISTRICT,ASSAM,33,TINSUKIA,8.4,13.5,-38,D,882.4,861.4,2,N
DISTRICT,ASSAM,34,UDALGURI,0.2,11.8,-99,LD,362.5,916.7,-60,LD
DISTRICT,ASSAM,35,WEST KARBI ANGLONG,0.0,5.5,-100,NR,362.2,417.0,-13,N
STATE,MEGHALAYA,,,17.9,19.4,-7,N,731.1,1702.2,-57,D
DISTRICT,MEGHALAYA,1,EAST GARO HILLS,2.0,21.1,-91,LD,494.4,1174.2,-58,D
DISTRICT,MEGHALAYA,2,EAST JAINTIA HILLS,62.4,30.6,104,LE,1081.5,2918.2,-63,LD
DISTRICT,MEGHALAYA,3,EAST KHASI HILLS,33.1,35.6,-7,N,1486.9,2930.7,-49,D
DISTRICT,MEGHALAYA,4,NORTH GARO HILLS,0.0,3.5,-99,LD,388.1,1081.3,-64,LD
DISTRICT,MEGHALAYA,5,RI BHOI,2.4,10.8,-78,LD,447.4,876.3,-49,D
DISTRICT,MEGHALAYA,6,SOUTH GARO HILLS,46.2,3.5,1220,LE,629.7,1081.3,-42,D
DISTRICT,MEGHALAYA,7,SOUTH WEST GARO HILLS,2.9,3.5,-17,N,489.5,1081.3,-55,D
DISTRICT,MEGHALAYA,8,SOUTH WEST KHASI HILLS,62.5,3.5,1686,LE,2052.4,1081.3,90,LE
DISTRICT,MEGHALAYA,9,WEST GARO HILLS,3.6,24.9,-86,LD,351.5,1156.1,-70,LD
DISTRICT,MEGHALAYA,10,WEST JAINTIA HILLS,9.9,30.6,-68,LD,648.6,2918.2,-78,LD
DISTRICT,MEGHALAYA,11,WEST KHASI HILLS,1.0,18.0,-94,LD,494.6,1699.9,-71,LD
STATE,NMMT,,,9.1,10.5,-13,N,583.0,751.6,-22,D
STATE,MIZORAM,,,5.4,13.5,-60,LD,675.9,901.2,-25,D
DISTRICT,MIZORAM,1,AIZAWL,0.3,13.9,-98,LD,692.9,866.6,-20,D
DISTRICT,MIZORAM,2,CHAMPHAI,5.8,11.3,-49,D,607.1,722.1,-16,N
DISTRICT,MIZORAM,3,KOLASIB,12.3,14.8,-17,N,722.4,934.0,-23,D
DISTRICT,MIZORAM,4,LAWNGTLAI,14.5,14.0,4,N,802.4,996.6,-19,N
DISTRICT,MIZORAM,5,LUNGLEI,4.2,15.4,-72,LD,738.1,984.4,-25,D
DISTRICT,MIZORAM,6,MAMIT,2.2,13.8,-84,LD,436.4,851.6,-49,D
DISTRICT,MIZORAM,7,SAIHA,5.8,12.0,-52,D,656.7,1009.0,-35,D
DISTRICT,MIZORAM,8,SERCHHIP,4.0,10.9,-64,LD,835.7,879.2,-5,N
STATE,MANIPUR,,,14.5,8.3,74,LE,368.6,620.3,-41,D
DISTRICT,MANIPUR,1,BISHNUPUR,3.0,8.6,-65,LD,302.1,672.4,-55,D
DISTRICT,MANIPUR,2,CHANDEL,1.6,8.6,-81,LD,362.9,672.4,-46,D
DISTRICT,MANIPUR,3,CHURACHANDPUR,15.5,8.6,80,LE,158.5,672.4,-76,LD
DISTRICT,MANIPUR,4,IMPHAL EAST,2.2,3.9,-45,D,352.6,441.0,-20,D
DISTRICT,MANIPUR,5,IMPHAL WEST,3.3,13.9,-76,LD,495.0,990.2,-50,D
DISTRICT,MANIPUR,6,SENAPATI,0.4,7.2,-94,LD,439.3,459.2,-4,N
DISTRICT,MANIPUR,7,TAMENGLONG,40.5,68.4,-41,D,1246.6,2681.8,-54,D
DISTRICT,MANIPUR,8,THOUBAL,24.4,3.9,526,LE,191.5,441.0,-57,D
DISTRICT,MANIPUR,9,UKHRUL,36.2,9.1,298,LE,548.5,669.4,-18,N
