record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,0.0,10.6,-100,NR,762.4,652.0,17,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,0.0,9.2,-100,NR,219.9,427.9,-49,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,0.0,10.4,-100,NR,1202.6,768.1,57,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,0.0,11.8,-100,NR,617.3,663.9,-7,N
STATE,ARUNACHAL PRADESH,,,18.0,20.7,-13,N,398.4,798.9,-50,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,32.1,-100,NR,58.8,717.9,-92,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,92.5,17.4,432,LE,503.9,633.4,-20,D
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,10.3,9.2,11,N,791.4,568.6,39,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,16.5,48.4,-66,LD,1380.5,1517.2,-9,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,1.0,18.7,-95,LD,231.1,490.5,-53,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,58.3,21.5,171,LE,506.7,762.0,-34,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,4.1,7.2,-44,D,205.3,305.2,-33,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,20.2,31.4,-36,D,832.4,1110.4,-25,D
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,5.1,12.5,-60,LD,129.4,417.3,-69,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,82.5,24.6,235,LE,1090.8,930.7,17,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,0.0,15.8,-100,NR,467.6,876.1,-47,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.3,12.5,-97,LD,214.4,460.2,-53,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,5.5,16.2,-66,LD,222.7,781.5,-72,LD
