record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,11.2,11.1,0,N,896.7,864.8,4,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,2.2,5.9,-63,LD,313.9,584.0,-46,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,5.7,15.9,-64,LD,1371.6,1015.7,35,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,22.6,9.0,151,LE,738.6,873.5,-15,N
STATE,ARUNACHAL PRADESH,,,12.0,9.7,24,E,663.6,1034.8,-36,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,1.7,13.8,-88,LD,118.9,1016.3,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,7.2,11.2,-36,D,684.1,826.3,-17,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,36.6,5.8,531,LE,981.3,741.0,32,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,2.5,18.4,-86,LD,1656.4,2003.8,-17,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,14.0,4.4,218,LE,368.4,706.9,-48,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,15.3,13.0,18,N,657.4,983.6,-33,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,7.3,11.7,-38,D,280.5,442.5,-37,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,84.4,28.9,192,LE,1242.6,1412.6,-12,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,10.3,4.8,115,LE,202.6,577.0,-65,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,4.5,13.8,-67,LD,1381.7,1232.9,12,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,3.9,4.3,-9,N,816.9,1033.7,-21,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,6.0,-100,NR,264.1,575.5,-54,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,12.9,11.7,10,N,318.0,1030.2,-69,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,3.0,7.6,-61,LD,478.3,1241.3,-61,LD
STATE,ASSAM & MEGHALAYA,,,28.7,11.7,145,LE,713.9,1099.8,-35,D
