record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,9.5,13.3,-28,D,756.0,603.8,25,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,8.7,11.3,-23,D,217.1,398.3,-45,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,13.6,16.8,-19,N,1195.1,710.7,68,LE
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,5.6,10.6,-47,D,609.8,614.0,-1,N
STATE,ARUNACHAL PRADESH,,,10.7,17.8,-40,D,356.4,727.0,-51,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,6.1,13.7,-55,D,51.3,627.6,-92,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,9.3,14.9,-38,D,361.1,568.5,-36,D
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,15.2,11.5,32,E,753.2,526.4,43,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,49.6,24.6,102,LE,1248.4,1353.0,-8,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,0.0,9.9,-100,NR,216.8,423.9,-49,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,18.6,13.2,41,E,373.9,668.9,-44,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,16.1,7.7,109,LE,199.7,274.1,-27,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,22.5,45.9,-51,D,712.9,1028.9,-31,D
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,0.0,11.0,-100,NR,116.2,377.3,-69,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,4.4,29.8,-85,LD,939.2,837.1,12,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,1.0,16.6,-94,LD,438.6,815.6,-46,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,7.5,-100,NR,208.1,416.7,-50,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,17.1,23.5,-27,D,203.9,716.6,-72,LD
