record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,4.1,12.9,-68,LD,1062.7,1038.7,2,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,0.5,7.4,-94,LD,431.7,686.9,-37,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,9.1,16.8,-46,D,1582.0,1229.4,29,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,0.9,12.0,-93,LD,885.9,1047.9,-15,N
STATE,ARUNACHAL PRADESH,,,2.6,10.5,-75,LD,721.5,1189.7,-39,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,7.2,-100,NR,124.2,1179.6,-89,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,1.9,10.7,-83,LD,757.1,962.7,-21,D
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,0.0,4.6,-100,NR,1048.9,851.0,23,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.4,22.9,-98,LD,1748.6,2288.6,-24,D
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,1.0,5.8,-83,LD,429.9,821.0,-48,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,4.2,11.4,-63,LD,723.0,1146.5,-37,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,6.5,6.7,-4,N,338.8,541.8,-37,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,19.4,6.0,223,LE,1338.0,1581.1,-15,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,7.6,11.7,-35,D,270.2,698.8,-61,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,0.0,15.7,-100,NR,1569.5,1418.9,11,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,0.2,10.8,-98,LD,878.8,1163.5,-24,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,7.5,-100,NR,269.1,665.1,-60,LD
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,6.4,14.4,-55,D,367.4,1222.8,-70,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.0,16.0,-100,NR,521.3,1432.3,-64,LD
STATE,ASSAM & MEGHALAYA,,,6.7,11.6,-42,D,812.7,1278.1,-36,D
STATE,ASSAM,,,5.8,10.3,-43,D,804.6,1066.3,-25,D
DISTRICT,ASSAM,1,BAJALI,0.0,8.3,-100,NR,891.0,1557.1,-43,D
DISTRICT,ASSAM,2,BAKSA,1.1,8.9,-88,LD,933.8,1139.6,-18,N
DISTRICT,ASSAM,3,BARPETA,0.6,8.3,-93,LD,1076.1,1557.1,-31,D
DISTRICT,ASSAM,5,BONGAIGAON,0.0,11.1,-100,NR,774.7,1751.5,-56,D
DISTRICT,ASSAM,6,CACHAR,0.6,13.1,-96,LD,1245.2,1298.3,-4,N
DISTRICT,ASSAM,7,CHARAIDEO,0.0,10.9,-100,NR,1015.5,725.3,40,E
DISTRICT,ASSAM,8,CHIRANG,0.0,5.5,-100,NR,1047.3,1719.8,-39,D
DISTRICT,ASSAM,9,DARRANG,23.8,5.1,366,LE,537.6,950.0,-43,D
DISTRICT,ASSAM,10,DHEMAJI,0.0,22.7,-100,NR,1699.7,1470.0,16,N
DISTRICT,ASSAM,11,DHUBRI,9.7,7.4,31,E,1052.7,1562.6,-33,D
DISTRICT,ASSAM,12,DIBRUGARH,0.0,12.8,-100,NR,875.4,1060.5,-17,N
DISTRICT,ASSAM,13,DIMA HASAO,0.8,5.2,-85,LD,334.7,758.0,-56,D
DISTRICT,ASSAM,14,GOALPARA,0.5,9.3,-95,LD,666.1,1475.9,-55,D
DISTRICT,ASSAM,15,GOLAGHAT,7.7,9.5,-19,N,667.4,738.2,-10,N
DISTRICT,ASSAM,16,HAILAKANDI,0.0,13.9,-100,NR,873.0,1109.5,-21,D
DISTRICT,ASSAM,17,HOJAI,4.8,6.6,-27,D,340.8,526.9,-35,D
DISTRICT,ASSAM,18,JORHAT,0.0,12.0,-100,NR,665.2,880.8,-24,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,22.7,10.9,108,LE,615.0,770.9,-20,D
DISTRICT,ASSAM,20,KAMRUP RURAL,1.0,9.2,-89,LD,387.4,949.5,-59,D
DISTRICT,ASSAM,21,KARBI ANGLONG,6.9,7.5,-8,N,410.7,570.0,-28,D
DISTRICT,ASSAM,22,KOKRAJHAR,0.1,14.5,-99,LD,1955.8,2013.3,-3,N
DISTRICT,ASSAM,23,LAKHIMPUR,1.9,16.1,-88,LD,1723.8,1442.6,19,N
DISTRICT,ASSAM,25,MORIGAON,34.6,8.7,297,LE,499.9,802.0,-38,D
DISTRICT,ASSAM,26,NAGAON,6.8,8.0,-15,N,336.3,729.3,-54,D
DISTRICT,ASSAM,27,NALBARI,0.1,9.4,-99,LD,427.6,1164.7,-63,LD
DISTRICT,ASSAM,28,SIBSAGAR,8.3,9.8,-15,N,618.2,861.6,-28,D
DISTRICT,ASSAM,29,SONITPUR,26.3,6.6,299,LE,826.6,856.2,-3,N
DISTRICT,ASSAM,31,SRIBHUMI,0.7,23.8,-97,LD,1256.8,1607.0,-22,D
DISTRICT,ASSAM,32,TAMULPUR,0.0,5.9,-100,NR,901.7,1013.7,-11,N
DISTRICT,ASSAM,33,TINSUKIA,0.0,13.2,-100,NR,1006.4,1033.4,-3,N
DISTRICT,ASSAM,34,UDALGURI,19.5,8.2,138,LE,488.6,1068.9,-54,D
DISTRICT,ASSAM,35,WEST KARBI ANGLONG,0.0,6.0,-100,NR,442.6,500.5,-12,N
STATE,MEGHALAYA,,,9.4,16.1,-42,D,838.6,1976.6,-58,D
DISTRICT,MEGHALAYA,1,EAST GARO HILLS,1.1,9.7,-89,LD,564.3,1380.0,-59,D
DISTRICT,MEGHALAYA,2,EAST JAINTIA HILLS,2.8,22.8,-88,LD,1224.5,3336.6,-63,LD
DISTRICT,MEGHALAYA,3,EAST KHASI HILLS,22.7,31.3,-27,D,1696.4,3360.9,-50,D
DISTRICT,MEGHALAYA,4,NORTH GARO HILLS,1.3,12.3,-90,LD,422.4,1308.5,-68,LD
DISTRICT,MEGHALAYA,5,RI BHOI,22.7,12.3,85,LE,538.5,1047.0,-49,D
DISTRICT,MEGHALAYA,6,SOUTH GARO HILLS,4.1,12.3,-67,LD,748.7,1308.5,-43,D
DISTRICT,MEGHALAYA,7,SOUTH WEST GARO HILLS,0.3,12.3,-98,LD,498.3,1308.5,-62,LD
DISTRICT,MEGHALAYA,8,SOUTH WEST KHASI HILLS,21.7,12.3,77,LE,2347.7,1308.5,79,LE
DISTRICT,MEGHALAYA,9,WEST GARO HILLS,0.8,12.8,-94,LD,398.0,1342.0,-70,LD
DISTRICT,MEGHALAYA,10,WEST JAINTIA HILLS,6.2,22.8,-73,LD,729.6,3336.6,-78,LD
DISTRICT,MEGHALAYA,11,WEST KHASI HILLS,10.2,12.6,-19,N,582.7,1963.9,-70,LD
STATE,NMMT,,,6.2,11.3,-45,D,719.7,913.5,-21,D
STATE,MIZORAM,,,7.8,14.3,-45,D,854.3,1105.3,-23,D
DISTRICT,MIZORAM,1,AIZAWL,5.2,15.6,-67,LD,872.1,1074.2,-19,N
DISTRICT,MIZORAM,2,CHAMPHAI,5.3,11.4,-54,D,764.2,897.8,-15,N
