record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,12.1,9.8,23,E,1053.2,1015.0,4,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,9.9,5.1,95,LE,431.3,672.6,-36,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,18.3,12.1,51,E,1571.0,1198.6,31,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,6.7,10.0,-33,D,872.2,1026.1,-15,N
STATE,ARUNACHAL PRADESH,,,8.7,13.2,-34,D,713.9,1167.5,-39,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,18.8,-100,NR,124.2,1157.3,-89,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.5,9.9,-95,LD,740.5,942.0,-21,D
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,26.7,5.3,403,LE,1039.1,842.2,23,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.1,27.2,-99,LD,1745.1,2242.7,-22,D
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,3.8,9.3,-59,D,422.8,809.8,-48,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,0.0,9.8,-100,NR,698.1,1123.8,-38,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,2.2,12.0,-82,LD,304.0,529.7,-43,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,5.0,8.9,-44,D,1317.4,1568.1,-16,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,0.0,11.5,-100,NR,260.8,676.6,-61,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,13.9,13.1,6,N,1556.5,1390.2,12,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,14.3,14.4,-1,N,877.5,1138.3,-23,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,9.6,-100,NR,269.1,649.4,-59,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,3.7,11.5,-68,LD,355.1,1192.7,-70,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,23.8,20.7,15,N,519.5,1403.4,-63,LD
STATE,ASSAM & MEGHALAYA,,,16.4,12.1,36,E,790.9,1255.2,-37,D
STATE,ASSAM,,,18.6,10.7,74,LE,783.5,1046.6,-25,D
DISTRICT,ASSAM,1,BAJALI,11.5,13.0,-12,N,891.0,1536.1,-42,D
DISTRICT,ASSAM,2,BAKSA,29.6,11.4,159,LE,932.7,1123.4,-17,N
DISTRICT,ASSAM,3,BARPETA,14.1,13.0,8,N,1072.5,1536.1,-30,D
DISTRICT,ASSAM,5,BONGAIGAON,23.5,23.0,2,N,755.4,1723.2,-56,D
DISTRICT,ASSAM,6,CACHAR,8.9,13.0,-31,D,1231.2,1271.9,-3,N
DISTRICT,ASSAM,7,CHARAIDEO,28.0,8.1,246,LE,984.0,706.7,39,E
DISTRICT,ASSAM,8,CHIRANG,11.2,17.6,-36,D,1047.3,1702.1,-38,D
DISTRICT,ASSAM,9,DARRANG,20.2,10.0,102,LE,513.8,940.5,-45,D
DISTRICT,ASSAM,10,DHEMAJI,32.8,9.5,245,LE,1626.9,1437.6,13,N
DISTRICT,ASSAM,11,DHUBRI,14.1,13.3,6,N,1022.9,1544.6,-34,D
DISTRICT,ASSAM,12,DIBRUGARH,6.2,11.4,-46,D,863.7,1038.8,-17,N
DISTRICT,ASSAM,13,DIMA HASAO,17.1,5.6,206,LE,326.5,746.8,-56,D
DISTRICT,ASSAM,14,GOALPARA,24.8,16.0,55,E,621.9,1453.0,-57,D
DISTRICT,ASSAM,15,GOLAGHAT,42.8,6.9,520,LE,655.8,722.0,-9,N
DISTRICT,ASSAM,16,HAILAKANDI,3.5,8.3,-58,D,863.5,1082.3,-20,D
DISTRICT,ASSAM,17,HOJAI,41.5,6.6,529,LE,331.5,517.8,-36,D
DISTRICT,ASSAM,18,JORHAT,22.8,11.1,106,LE,638.5,861.0,-26,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,1.9,7.2,-74,LD,591.8,755.5,-22,D
DISTRICT,ASSAM,20,KAMRUP RURAL,2.4,9.7,-75,LD,386.3,931.1,-59,D
DISTRICT,ASSAM,21,KARBI ANGLONG,9.1,8.0,13,N,403.8,557.1,-28,D
DISTRICT,ASSAM,22,KOKRAJHAR,59.0,11.1,431,LE,1859.8,1984.2,-6,N
DISTRICT,ASSAM,23,LAKHIMPUR,29.2,19.0,53,E,1715.5,1413.7,21,E
DISTRICT,ASSAM,25,MORIGAON,48.5,8.8,451,LE,465.3,780.6,-40,D
DISTRICT,ASSAM,26,NAGAON,1.7,7.5,-78,LD,323.6,712.0,-55,D
DISTRICT,ASSAM,27,NALBARI,22.5,12.1,86,LE,427.5,1147.3,-63,LD
DISTRICT,ASSAM,28,SIBSAGAR,7.1,8.7,-18,N,591.8,843.5,-30,D
DISTRICT,ASSAM,29,SONITPUR,6.8,9.1,-25,D,788.9,842.0,-6,N
DISTRICT,ASSAM,31,SRIBHUMI,2.5,20.1,-88,LD,1233.8,1558.5,-21,D
DISTRICT,ASSAM,32,TAMULPUR,3.9,11.6,-66,LD,901.7,1000.9,-10,N
DISTRICT,ASSAM,33,TINSUKIA,0.5,10.7,-96,LD,1004.9,1009.3,0,N
DISTRICT,ASSAM,34,UDALGURI,26.1,15.8,65,LE,468.9,1052.9,-55,D
DISTRICT,ASSAM,35,WEST KARBI ANGLONG,26.6,7.0,280,LE,403.0,491.3,-18,N
STATE,MEGHALAYA,,,9.6,16.8,-43,D,814.5,1943.1,-58,D
DISTRICT,MEGHALAYA,1,EAST GARO HILLS,2.8,15.7,-82,LD,555.1,1353.3,-59,D
DISTRICT,MEGHALAYA,2,EAST JAINTIA HILLS,12.8,30.1,-57,D,1216.5,3286.4,-63,LD
DISTRICT,MEGHALAYA,3,EAST KHASI HILLS,23.4,36.2,-35,D,1630.9,3297.2,-51,D
DISTRICT,MEGHALAYA,4,NORTH GARO HILLS,5.6,5.8,-3,N,413.2,1282.1,-68,LD
DISTRICT,MEGHALAYA,5,RI BHOI,8.6,10.3,-17,N,512.2,1024.6,-50,D
DISTRICT,MEGHALAYA,6,SOUTH GARO HILLS,8.6,5.8,48,E,730.2,1282.1,-43,D
DISTRICT,MEGHALAYA,7,SOUTH WEST GARO HILLS,1.2,5.8,-79,LD,493.9,1282.1,-61,LD
DISTRICT,MEGHALAYA,8,SOUTH WEST KHASI HILLS,29.3,5.8,405,LE,2269.5,1282.1,77,LE
DISTRICT,MEGHALAYA,9,WEST GARO HILLS,5.1,14.2,-64,LD,393.5,1315.1,-70,LD
