record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,15.9,12.3,29,E,1005.8,931.8,8,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,11.5,7.1,62,LE,411.7,628.0,-34,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,25.0,17.8,40,E,1503.6,1101.3,37,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,8.6,9.7,-12,N,829.6,934.6,-11,N
STATE,ARUNACHAL PRADESH,,,6.3,10.8,-42,D,680.5,1081.0,-37,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,11.7,-100,NR,120.4,1063.6,-89,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,3.6,11.0,-68,LD,709.7,866.4,-18,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,3.0,6.3,-52,D,1001.0,776.4,29,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.0,23.2,-100,NR,1658.9,2077.4,-20,D
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,4.2,7.5,-44,D,412.4,741.5,-44,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,4.7,5.5,-15,N,664.4,1023.6,-35,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,2.3,4.5,-49,D,290.1,481.7,-40,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,0.8,13.0,-94,LD,1255.5,1469.9,-15,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,17.7,7.1,149,LE,235.8,614.4,-62,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,69.0,16.4,321,LE,1452.7,1289.6,13,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,0.0,11.9,-100,NR,837.8,1070.6,-22,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,2.8,6.5,-57,D,269.1,603.8,-55,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,9.7,15.3,-37,D,345.3,1095.2,-68,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,1.0,12.3,-92,LD,484.4,1309.3,-63,LD
STATE,ASSAM & MEGHALAYA,,,5.9,13.0,-55,D,747.8,1154.5,-35,D
STATE,ASSAM,,,5.3,11.4,-53,D,738.5,963.0,-23,D
DISTRICT,ASSAM,1,BAJALI,4.5,6.5,-31,D,879.0,1429.8,-39,D
DISTRICT,ASSAM,2,BAKSA,0.1,11.7,-99,LD,901.3,1053.0,-14,N
DISTRICT,ASSAM,3,BARPETA,14.4,6.5,122,LE,1058.8,1429.8,-26,D
DISTRICT,ASSAM,5,BONGAIGAON,18.4,7.7,139,LE,726.0,1591.6,-54,D
DISTRICT,ASSAM,6,CACHAR,4.9,20.2,-76,LD,1163.0,1178.7,-1,N
DISTRICT,ASSAM,7,CHARAIDEO,0.0,16.5,-100,NR,842.0,625.6,35,E
DISTRICT,ASSAM,8,CHIRANG,50.8,9.6,429,LE,1033.6,1559.5,-34,D
DISTRICT,ASSAM,9,DARRANG,0.0,7.9,-100,NR,493.6,869.8,-43,D
DISTRICT,ASSAM,10,DHEMAJI,42.8,17.9,139,LE,1517.9,1322.8,15,N
DISTRICT,ASSAM,11,DHUBRI,3.8,12.3,-69,LD,1005.7,1418.6,-29,D
DISTRICT,ASSAM,12,DIBRUGARH,2.9,12.6,-77,LD,815.1,952.7,-14,N
DISTRICT,ASSAM,13,DIMA HASAO,1.5,5.9,-74,LD,305.8,707.2,-57,D
DISTRICT,ASSAM,14,GOALPARA,5.5,14.3,-62,LD,587.2,1335.2,-56,D
DISTRICT,ASSAM,15,GOLAGHAT,4.2,7.9,-47,D,597.5,659.2,-9,N
DISTRICT,ASSAM,16,HAILAKANDI,6.3,12.5,-50,D,773.6,994.1,-22,D
DISTRICT,ASSAM,17,HOJAI,8.5,8.4,1,N,285.2,476.1,-40,D
DISTRICT,ASSAM,18,JORHAT,1.7,10.8,-84,LD,598.7,788.2,-24,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,0.4,5.5,-92,LD,574.7,694.6,-17,N
DISTRICT,ASSAM,20,KAMRUP RURAL,0.2,8.5,-98,LD,380.3,852.4,-55,D
DISTRICT,ASSAM,21,KARBI ANGLONG,1.3,6.8,-82,LD,353.5,511.1,-31,D
DISTRICT,ASSAM,22,KOKRAJHAR,6.5,26.1,-75,LD,1785.7,1826.7,-2,N
DISTRICT,ASSAM,23,LAKHIMPUR,4.5,14.8,-69,LD,1580.6,1296.7,22,E
DISTRICT,ASSAM,25,MORIGAON,0.0,11.1,-100,NR,414.9,710.9,-42,D
DISTRICT,ASSAM,26,NAGAON,0.0,10.0,-100,NR,318.4,650.4,-51,D
DISTRICT,ASSAM,27,NALBARI,0.5,6.1,-92,LD,404.7,1059.6,-62,LD
DISTRICT,ASSAM,28,SIBSAGAR,15.0,13.7,9,N,549.0,766.2,-28,D
DISTRICT,ASSAM,29,SONITPUR,0.0,14.4,-100,NR,779.3,763.4,2,N
DISTRICT,ASSAM,31,SRIBHUMI,1.0,17.6,-94,LD,1192.1,1423.4,-16,N
DISTRICT,ASSAM,32,TAMULPUR,3.1,9.5,-67,LD,895.8,938.8,-5,N
DISTRICT,ASSAM,33,TINSUKIA,9.8,11.0,-11,N,921.8,924.6,0,N
DISTRICT,ASSAM,34,UDALGURI,0.1,9.7,-99,LD,442.7,969.7,-54,D
DISTRICT,ASSAM,35,WEST KARBI ANGLONG,1.2,6.3,-81,LD,374.2,455.3,-18,N
STATE,MEGHALAYA,,,7.6,18.0,-58,D,777.4,1785.5,-56,D
DISTRICT,MEGHALAYA,1,EAST GARO HILLS,0.8,13.8,-94,LD,528.9,1232.5,-57,D
DISTRICT,MEGHALAYA,2,EAST JAINTIA HILLS,2.3,25.4,-91,LD,1163.8,3023.1,-62,LD
DISTRICT,MEGHALAYA,3,EAST KHASI HILLS,11.0,24.1,-54,D,1561.6,3057.9,-49,D
DISTRICT,MEGHALAYA,4,NORTH GARO HILLS,0.4,10.6,-97,LD,401.4,1158.7,-65,LD
DISTRICT,MEGHALAYA,5,RI BHOI,2.7,11.1,-76,LD,479.8,938.6,-49,D
DISTRICT,MEGHALAYA,6,SOUTH GARO HILLS,3.3,10.6,-69,LD,691.8,1158.7,-40,D
DISTRICT,MEGHALAYA,7,SOUTH WEST GARO HILLS,0.3,10.6,-97,LD,491.9,1158.7,-58,D
DISTRICT,MEGHALAYA,8,SOUTH WEST KHASI HILLS,9.1,10.6,-14,N,2123.8,1158.7,83,LE
DISTRICT,MEGHALAYA,9,WEST GARO HILLS,3.9,13.5,-71,LD,381.9,1224.3,-69,LD
DISTRICT,MEGHALAYA,10,WEST JAINTIA HILLS,2.7,25.4,-90,LD,681.9,3023.1,-77,LD
DISTRICT,MEGHALAYA,11,WEST KHASI HILLS,20.4,24.6,-17,N,538.4,1778.0,-70,LD
STATE,NMMT,,,10.5,10.3,2,N,663.3,814.1,-19,N
STATE,MIZORAM,,,15.7,11.9,32,E,783.6,979.2,-20,D
DISTRICT,MIZORAM,1,AIZAWL,11.3,13.6,-17,N,793.6,951.1,-17,N
DISTRICT,MIZORAM,2,CHAMPHAI,8.0,12.0,-33,D,729.4,783.8,-7,N
DISTRICT,MIZORAM,3,KOLASIB,16.1,16.9,-5,N,839.6,1036.0,-19,N
DISTRICT,MIZORAM,4,LAWNGTLAI,17.3,7.3,137,LE,913.5,1064.0,-14,N
DISTRICT,MIZORAM,5,LUNGLEI,28.1,13.0,116,LE,844.5,1070.3,-21,D
DISTRICT,MIZORAM,6,MAMIT,5.6,11.8,-53,D,517.3,930.8,-44,D
DISTRICT,MIZORAM,7,SAIHA,27.5,8.2,235,LE,808.7,1089.0,-26,D
DISTRICT,MIZORAM,8,SERCHHIP,10.3,12.2,-15,N,929.6,940.7,-1,N
STATE,MANIPUR,,,7.9,12.3,-36,D,434.2,678.1,-36,D
DISTRICT,MANIPUR,1,BISHNUPUR,0.0,15.5,-100,NR,315.9,735.8,-57,D
DISTRICT,MANIPUR,2,CHANDEL,4.2,15.5,-73,LD,394.9,735.8,-46,D
DISTRICT,MANIPUR,3,CHURACHANDPUR,0.5,15.5,-97,LD,183.5,735.8,-75,LD
DISTRICT,MANIPUR,4,IMPHAL EAST,4.4,5.2,-15,N,387.4,477.5,-19,N
DISTRICT,MANIPUR,5,IMPHAL WEST,5.4,27.8,-81,LD,529.3,1099.1,-52,D
DISTRICT,MANIPUR,6,SENAPATI,4.5,8.2,-45,D,477.2,508.2,-6,N
DISTRICT,MANIPUR,7,TAMENGLONG,9.4,26.0,-64,LD,1350.6,2780.4,-51,D
DISTRICT,MANIPUR,8,THOUBAL,5.8,5.2,12,N,255.9,477.5,-46,D
DISTRICT,MANIPUR,9,UKHRUL,22.4,7.4,203,LE,713.6,718.1,-1,N
STATE,TRIPURA,,,5.2,7.3,-29,D,767.5,907.8,-15,N
DISTRICT,TRIPURA,1,DHALAI,2.8,5.6,-51,D,795.6,852.9,-7,N
DISTRICT,TRIPURA,2,GOMATI,16.5,6.6,150,LE,687.9,933.3,-26,D
DISTRICT,TRIPURA,3,KHOWAI,0.6,6.1,-91,LD,785.0,849.9,-8,N
