record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,5.5,14.8,-63,LD,761.5,618.6,23,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,1.7,7.3,-77,LD,218.8,405.6,-46,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,7.6,18.6,-59,D,1202.6,729.3,65,LE
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,5.5,15.3,-64,LD,615.3,629.3,-2,N
STATE,ARUNACHAL PRADESH,,,7.8,17.2,-55,D,362.4,744.2,-51,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,2.6,18.2,-86,LD,53.9,645.8,-92,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.0,9.1,-100,NR,361.1,577.6,-37,D
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,0.0,12.4,-100,NR,753.2,538.8,40,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,29.6,36.5,-19,N,1278.0,1389.5,-8,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,10.0,10.8,-7,N,226.8,434.7,-48,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,5.6,27.5,-80,LD,379.5,696.4,-46,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,1.0,14.5,-93,LD,200.7,288.6,-30,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,45.8,21.7,111,LE,758.7,1050.6,-28,D
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,1.1,7.2,-85,LD,117.3,384.5,-70,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,29.5,16.9,75,LE,968.7,854.0,13,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,7.3,14.6,-50,D,445.8,830.2,-46,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.1,15.1,-99,LD,208.1,431.8,-52,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,4.5,19.0,-76,LD,206.1,735.6,-72,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.5,21.4,-98,LD,360.3,858.7,-58,D
STATE,ASSAM & MEGHALAYA,,,16.4,14.8,11,N,474.8,788.6,-40,D
STATE,ASSAM,,,19.4,13.1,48,E,453.6,660.8,-31,D
DISTRICT,ASSAM,1,BAJALI,3.0,17.6,-83,LD,611.0,1058.6,-42,D
DISTRICT,ASSAM,2,BAKSA,1.5,21.8,-93,LD,675.9,776.0,-13,N
DISTRICT,ASSAM,3,BARPETA,7.9,17.6,-55,D,706.1,1058.6,-33,D
DISTRICT,ASSAM,5,BONGAIGAON,3.3,33.3,-90,LD,507.1,1192.1,-57,D
DISTRICT,ASSAM,6,CACHAR,54.7,17.0,222,LE,727.5,775.1,-6,N
DISTRICT,ASSAM,7,CHARAIDEO,19.0,9.9,92,LE,479.5,400.5,20,E
DISTRICT,ASSAM,8,CHIRANG,5.0,30.4,-84,LD,680.4,1134.3,-40,D
DISTRICT,ASSAM,9,DARRANG,0.0,11.7,-100,NR,309.4,648.6,-52,D
DISTRICT,ASSAM,10,DHEMAJI,17.8,18.9,-6,N,1154.5,909.7,27,E
DISTRICT,ASSAM,11,DHUBRI,14.1,14.8,-5,N,707.2,1033.9,-32,D
DISTRICT,ASSAM,12,DIBRUGARH,48.9,12.5,291,LE,576.6,624.1,-8,N
DISTRICT,ASSAM,13,DIMA HASAO,13.1,11.1,18,N,176.5,498.8,-65,LD
DISTRICT,ASSAM,14,GOALPARA,9.0,18.4,-51,D,417.7,949.8,-56,D
DISTRICT,ASSAM,15,GOLAGHAT,5.2,9.5,-45,D,232.3,429.8,-46,D
DISTRICT,ASSAM,16,HAILAKANDI,102.7,11.9,763,LE,565.3,650.6,-13,N
DISTRICT,ASSAM,17,HOJAI,17.3,6.2,179,LE,151.7,306.4,-50,D
DISTRICT,ASSAM,18,JORHAT,4.8,12.5,-62,LD,309.9,511.8,-39,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,7.1,6.0,18,N,258.2,495.4,-48,D
DISTRICT,ASSAM,20,KAMRUP RURAL,1.8,10.3,-82,LD,179.6,605.7,-70,LD
DISTRICT,ASSAM,21,KARBI ANGLONG,8.0,5.8,38,E,114.2,327.1,-65,LD
DISTRICT,ASSAM,22,KOKRAJHAR,39.9,18.2,119,LE,1227.7,1245.0,-1,N
DISTRICT,ASSAM,23,LAKHIMPUR,45.8,17.8,157,LE,1049.9,875.1,20,E
DISTRICT,ASSAM,24,MAJULI,27.0,12.5,116,LE,461.0,511.8,-10,N
DISTRICT,ASSAM,25,MORIGAON,0.3,9.0,-96,LD,237.3,463.5,-49,D
DISTRICT,ASSAM,26,NAGAON,2.1,7.4,-72,LD,88.0,416.7,-79,LD
DISTRICT,ASSAM,27,NALBARI,0.5,11.1,-95,LD,277.5,770.3,-64,LD
DISTRICT,ASSAM,28,SIBSAGAR,11.3,13.7,-17,N,282.0,496.5,-43,D
