record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,16.4,11.0,49,E,799.7,750.5,7,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,0.0,7.2,-100,NR,235.6,512.1,-54,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,39.6,14.4,175,LE,1266.6,876.9,44,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,1.3,9.9,-87,LD,638.6,760.0,-16,N
STATE,ARUNACHAL PRADESH,,,1.4,15.7,-91,LD,557.6,929.0,-40,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,1.3,19.1,-93,LD,104.6,894.8,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.0,10.0,-100,NR,603.1,739.2,-18,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,0.0,10.6,-100,NR,836.0,662.4,26,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.0,34.5,-100,NR,1466.1,1793.5,-18,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,1.5,12.1,-88,LD,271.4,602.8,-55,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,5.5,17.5,-69,LD,558.0,884.8,-37,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,0.0,10.3,-100,NR,215.8,360.8,-40,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,0.4,11.1,-97,LD,941.1,1248.5,-25,D
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,9.1,12.3,-26,D,157.8,508.9,-69,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,17.0,18.0,-6,N,1204.4,1100.5,9,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,0.0,10.2,-100,NR,720.1,967.4,-26,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,8.6,-100,NR,214.4,521.3,-59,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,0.1,19.3,-99,LD,243.5,909.2,-73,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.0,24.8,-100,NR,370.2,1096.9,-66,LD
STATE,ASSAM & MEGHALAYA,,,1.5,16.8,-91,LD,595.5,979.6,-39,D
STATE,ASSAM,,,1.3,12.5,-90,LD,573.8,814.2,-30,D
DISTRICT,ASSAM,1,BAJALI,0.0,15.0,-100,NR,668.5,1281.2,-48,D
DISTRICT,ASSAM,2,BAKSA,0.0,11.7,-100,NR,716.4,931.0,-23,D
DISTRICT,ASSAM,3,BARPETA,1.6,15.0,-90,LD,800.6,1281.2,-38,D
DISTRICT,ASSAM,5,BONGAIGAON,0.0,16.7,-100,NR,618.2,1415.4,-56,D
DISTRICT,ASSAM,6,CACHAR,0.3,13.7,-98,LD,878.3,961.5,-9,N
DISTRICT,ASSAM,7,CHARAIDEO,0.0,3.6,-100,NR,683.0,493.3,38,E
DISTRICT,ASSAM,8,CHIRANG,0.0,19.5,-100,NR,798.0,1395.7,-43,D
DISTRICT,ASSAM,9,DARRANG,0.0,9.2,-100,NR,385.6,755.0,-49,D
DISTRICT,ASSAM,10,DHEMAJI,0.0,20.9,-100,NR,1269.7,1135.3,12,N
DISTRICT,ASSAM,11,DHUBRI,0.5,22.8,-98,LD,817.3,1249.6,-35,D
DISTRICT,ASSAM,12,DIBRUGARH,3.7,9.5,-61,LD,694.1,789.4,-12,N
DISTRICT,ASSAM,13,DIMA HASAO,1.7,8.7,-81,LD,213.0,602.1,-65,LD
DISTRICT,ASSAM,14,GOALPARA,1.4,16.1,-91,LD,469.2,1161.9,-60,LD
DISTRICT,ASSAM,15,GOLAGHAT,0.3,9.6,-97,LD,421.5,538.6,-22,D
DISTRICT,ASSAM,16,HAILAKANDI,4.4,11.9,-63,LD,659.6,813.5,-19,N
DISTRICT,ASSAM,17,HOJAI,0.0,8.3,-100,NR,209.7,372.2,-44,D
DISTRICT,ASSAM,18,JORHAT,0.3,8.1,-96,LD,443.3,632.9,-30,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,3.8,11.5,-67,LD,449.3,593.0,-24,D
DISTRICT,ASSAM,20,KAMRUP RURAL,0.0,9.2,-100,NR,241.3,730.5,-67,LD
DISTRICT,ASSAM,21,KARBI ANGLONG,0.0,7.3,-100,NR,269.6,410.2,-34,D
DISTRICT,ASSAM,22,KOKRAJHAR,1.7,20.2,-91,LD,1447.8,1531.9,-5,N
DISTRICT,ASSAM,23,LAKHIMPUR,0.0,18.2,-100,NR,1189.9,1085.4,10,N
DISTRICT,ASSAM,24,MAJULI,0.0,8.1,-100,NR,545.0,632.9,-14,N
DISTRICT,ASSAM,25,MORIGAON,0.0,7.1,-100,NR,309.5,577.1,-46,D
DISTRICT,ASSAM,26,NAGAON,3.8,10.3,-64,LD,212.0,529.7,-60,LD
DISTRICT,ASSAM,27,NALBARI,0.0,19.5,-100,NR,355.2,932.0,-62,LD
DISTRICT,ASSAM,28,SIBSAGAR,0.3,6.9,-95,LD,410.6,620.2,-34,D
DISTRICT,ASSAM,29,SONITPUR,0.0,16.5,-100,NR,512.8,637.9,-20,D
DISTRICT,ASSAM,31,SRIBHUMI,5.3,13.1,-60,LD,1001.9,1192.9,-16,N
DISTRICT,ASSAM,32,TAMULPUR,0.0,8.6,-100,NR,726.8,830.9,-13,N
DISTRICT,ASSAM,33,TINSUKIA,7.6,11.8,-36,D,765.1,767.4,0,N
DISTRICT,ASSAM,34,UDALGURI,0.0,10.0,-100,NR,326.6,835.9,-61,LD
DISTRICT,ASSAM,35,WEST KARBI ANGLONG,2.2,6.9,-68,LD,275.6,358.2,-23,D
STATE,MEGHALAYA,,,2.1,30.9,-93,LD,665.1,1524.6,-56,D
DISTRICT,MEGHALAYA,1,EAST GARO HILLS,2.3,20.2,-89,LD,444.0,1046.4,-58,D
DISTRICT,MEGHALAYA,2,EAST JAINTIA HILLS,10.9,54.0,-80,LD,901.2,2599.5,-65,LD
DISTRICT,MEGHALAYA,3,EAST KHASI HILLS,1.8,53.1,-97,LD,1359.7,2623.8,-48,D
DISTRICT,MEGHALAYA,4,NORTH GARO HILLS,1.3,12.8,-90,LD,370.0,1002.2,-63,LD
DISTRICT,MEGHALAYA,5,RI BHOI,1.3,13.4,-90,LD,426.1,759.5,-44,D
DISTRICT,MEGHALAYA,6,SOUTH GARO HILLS,1.2,12.8,-91,LD,511.2,1002.2,-49,D
DISTRICT,MEGHALAYA,7,SOUTH WEST GARO HILLS,0.0,12.8,-100,NR,485.4,1002.2,-52,D
DISTRICT,MEGHALAYA,8,SOUTH WEST KHASI HILLS,2.0,12.8,-85,LD,1867.5,1002.2,86,LE
DISTRICT,MEGHALAYA,9,WEST GARO HILLS,0.8,24.7,-97,LD,335.2,1013.5,-67,LD
DISTRICT,MEGHALAYA,10,WEST JAINTIA HILLS,1.7,54.0,-97,LD,596.9,2599.5,-77,LD
DISTRICT,MEGHALAYA,11,WEST KHASI HILLS,0.7,35.8,-98,LD,471.6,1529.0,-69,LD
STATE,NMMT,,,5.0,10.8,-54,D,513.8,659.3,-22,D
STATE,MIZORAM,,,7.8,13.8,-43,D,611.1,789.3,-23,D
DISTRICT,MIZORAM,1,AIZAWL,9.4,16.1,-41,D,628.5,755.1,-17,N
DISTRICT,MIZORAM,2,CHAMPHAI,7.4,10.3,-28,D,505.8,629.0,-20,D
DISTRICT,MIZORAM,3,KOLASIB,3.7,16.3,-77,LD,603.5,812.5,-26,D
DISTRICT,MIZORAM,4,LAWNGTLAI,3.7,11.4,-68,LD,750.6,882.4,-15,N
DISTRICT,MIZORAM,5,LUNGLEI,6.6,15.5,-57,D,678.5,865.6,-22,D
DISTRICT,MIZORAM,6,MAMIT,7.5,10.4,-28,D,406.7,726.7,-44,D
DISTRICT,MIZORAM,7,SAIHA,21.6,18.3,18,N,600.4,903.7,-34,D
DISTRICT,MIZORAM,8,SERCHHIP,7.2,13.4,-46,D,782.4,777.9,1,N
STATE,MANIPUR,,,2.0,8.4,-76,LD,324.3,546.1,-41,D
DISTRICT,MANIPUR,1,BISHNUPUR,0.0,7.3,-100,NR,263.2,603.1,-56,D
DISTRICT,MANIPUR,2,CHANDEL,8.4,7.3,15,N,328.6,603.1,-46,D
DISTRICT,MANIPUR,3,CHURACHANDPUR,0.5,7.3,-93,LD,112.0,603.1,-81,LD
DISTRICT,MANIPUR,4,IMPHAL EAST,0.5,5.3,-90,LD,342.0,398.0,-14,N
DISTRICT,MANIPUR,5,IMPHAL WEST,0.8,9.8,-91,LD,423.8,886.1,-52,D
DISTRICT,MANIPUR,6,SENAPATI,0.6,10.7,-94,LD,419.0,381.9,10,N
DISTRICT,MANIPUR,7,TAMENGLONG,0.0,27.3,-100,NR,1117.5,2458.5,-55,D
DISTRICT,MANIPUR,8,THOUBAL,0.3,5.3,-94,LD,158.4,398.0,-60,LD
DISTRICT,MANIPUR,9,UKHRUL,0.6,9.1,-93,LD,477.9,578.7,-17,N
STATE,TRIPURA,,,3.9,11.1,-65,LD,683.5,752.3,-9,N
DISTRICT,TRIPURA,1,DHALAI,6.6,10.2,-36,D,722.0,694.4,4,N
DISTRICT,TRIPURA,2,GOMATI,5.4,10.7,-50,D,598.2,772.2,-23,D
DISTRICT,TRIPURA,3,KHOWAI,1.9,9.0,-79,LD,748.5,710.0,5,N
DISTRICT,TRIPURA,4,NORTH TRIPURA,4.1,9.4,-56,D,640.0,704.0,-9,N
DISTRICT,TRIPURA,5,SIPAHIJALA,3.9,12.4,-69,LD,612.4,735.0,-17,N
