record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,8.0,15.0,-47,D,814.9,792.0,3,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,2.3,11.9,-81,LD,245.7,537.2,-54,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,17.6,17.7,-1,N,1291.4,926.0,39,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,1.0,13.9,-93,LD,646.7,803.1,-19,N
STATE,ARUNACHAL PRADESH,,,7.7,13.7,-44,D,575.9,970.9,-41,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,1.8,9.7,-82,LD,111.2,946.9,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,24.1,10.2,136,LE,627.2,769.3,-18,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,4.4,13.1,-66,LD,842.2,698.8,21,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,2.0,31.0,-94,LD,1469.6,1875.8,-22,D
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,2.8,17.4,-84,LD,296.2,653.1,-55,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,22.9,11.6,98,LE,586.9,920.1,-36,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,3.4,10.2,-66,LD,230.4,384.2,-40,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,19.6,14.5,35,E,1033.8,1302.8,-21,D
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,0.0,7.0,-100,NR,165.1,532.4,-69,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,29.5,17.0,74,LE,1248.0,1153.3,8,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,12.0,7.5,60,LE,743.3,994.0,-25,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,7.1,-100,NR,216.6,541.2,-60,LD
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,1.8,14.4,-88,LD,260.7,949.1,-73,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,1.3,24.1,-95,LD,380.6,1160.8,-67,LD
STATE,ASSAM & MEGHALAYA,,,13.0,13.3,-2,N,625.5,1026.3,-39,D
STATE,ASSAM,,,14.7,10.8,36,E,609.0,850.4,-28,D
DISTRICT,ASSAM,1,BAJALI,11.5,17.7,-35,D,781.0,1325.6,-41,D
DISTRICT,ASSAM,2,BAKSA,16.3,8.4,94,LE,785.1,965.6,-19,N
DISTRICT,ASSAM,3,BARPETA,83.1,17.7,370,LE,903.7,1325.6,-32,D
DISTRICT,ASSAM,5,BONGAIGAON,20.6,15.6,32,E,648.0,1473.9,-56,D
DISTRICT,ASSAM,6,CACHAR,16.3,14.0,16,N,946.8,1011.5,-6,N
DISTRICT,ASSAM,7,CHARAIDEO,78.0,5.1,1429,LE,785.5,523.9,50,E
DISTRICT,ASSAM,8,CHIRANG,16.4,12.2,34,E,820.4,1447.0,-43,D
DISTRICT,ASSAM,9,DARRANG,9.7,5.8,68,LE,396.8,775.0,-49,D
DISTRICT,ASSAM,10,DHEMAJI,12.8,16.7,-23,D,1284.1,1179.6,9,N
DISTRICT,ASSAM,11,DHUBRI,3.7,12.6,-70,LD,829.3,1292.3,-36,D
DISTRICT,ASSAM,12,DIBRUGARH,21.4,14.1,52,E,717.1,832.0,-14,N
DISTRICT,ASSAM,13,DIMA HASAO,2.2,4.4,-50,D,259.2,625.1,-59,D
DISTRICT,ASSAM,14,GOALPARA,10.2,15.8,-36,D,516.2,1212.8,-57,D
DISTRICT,ASSAM,15,GOLAGHAT,23.7,5.2,355,LE,460.4,566.3,-19,N
