record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,5.7,13.3,-57,D,805.4,763.8,5,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,1.3,5.8,-77,LD,236.9,517.9,-54,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,6.9,15.4,-55,D,1273.6,892.3,43,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,7.1,15.6,-54,D,645.7,775.6,-17,N
STATE,ARUNACHAL PRADESH,,,1.8,13.2,-86,LD,559.4,942.2,-41,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,1.3,16.5,-92,LD,105.9,911.3,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.0,11.1,-100,NR,603.1,750.3,-20,D
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,0.0,11.6,-100,NR,836.0,674.0,24,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,1.0,27.2,-96,LD,1467.1,1820.7,-19,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,0.0,21.6,-100,NR,271.4,624.4,-57,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,0.2,12.8,-98,LD,558.2,897.6,-38,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,4.7,5.1,-8,N,220.5,365.9,-40,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,4.9,15.4,-68,LD,945.9,1263.9,-25,D
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,0.7,7.5,-91,LD,158.5,516.4,-69,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,0.0,18.4,-100,NR,1204.4,1118.9,8,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,0.0,7.0,-100,NR,720.1,974.4,-26,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,2.2,6.3,-65,LD,216.6,527.6,-59,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,7.9,13.9,-43,D,251.4,923.1,-73,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.0,19.7,-100,NR,370.2,1116.6,-67,LD
STATE,ASSAM & MEGHALAYA,,,3.1,16.7,-82,LD,598.6,996.3,-40,D
STATE,ASSAM,,,3.6,12.5,-71,LD,577.4,826.7,-30,D
DISTRICT,ASSAM,1,BAJALI,0.0,15.3,-100,NR,668.5,1296.5,-48,D
DISTRICT,ASSAM,2,BAKSA,1.5,12.8,-89,LD,717.9,943.8,-24,D
DISTRICT,ASSAM,3,BARPETA,0.8,15.3,-95,LD,801.4,1296.5,-38,D
DISTRICT,ASSAM,5,BONGAIGAON,0.0,11.1,-100,NR,618.1,1426.5,-57,D
DISTRICT,ASSAM,6,CACHAR,0.2,16.1,-99,LD,878.4,977.6,-10,N
