record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,5.5,10.8,-49,D,1058.6,1025.8,3,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,0.0,6.9,-100,NR,431.3,679.5,-37,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,1.9,14.0,-86,LD,1572.9,1212.6,30,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,12.8,9.8,31,E,885.0,1035.9,-15,N
STATE,ARUNACHAL PRADESH,,,5.0,11.7,-57,D,718.9,1179.2,-39,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,15.1,-100,NR,124.2,1172.4,-89,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,14.8,10.0,48,E,755.3,952.0,-21,D
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,9.8,4.2,133,LE,1048.9,846.4,24,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,3.1,23.0,-87,LD,1748.2,2265.7,-23,D
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,6.2,5.4,14,N,428.9,815.2,-47,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,20.6,11.3,83,LE,718.8,1135.1,-37,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,28.4,5.4,425,LE,332.3,535.1,-38,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,1.2,7.0,-82,LD,1318.7,1575.1,-16,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,1.9,10.5,-82,LD,262.7,687.1,-62,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,13.0,13.0,0,N,1569.5,1403.2,12,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,1.1,14.4,-92,LD,878.6,1152.7,-24,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,8.2,-100,NR,269.1,657.6,-59,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,5.9,15.7,-62,LD,361.0,1208.4,-70,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,1.8,12.9,-86,LD,521.3,1416.3,-63,LD
STATE,ASSAM & MEGHALAYA,,,15.2,11.3,35,E,806.1,1266.5,-36,D
STATE,ASSAM,,,15.6,9.4,65,LE,798.9,1056.0,-24,D
DISTRICT,ASSAM,1,BAJALI,0.0,12.7,-100,NR,891.0,1548.8,-42,D
DISTRICT,ASSAM,2,BAKSA,0.0,7.3,-100,NR,932.7,1130.7,-18,N
DISTRICT,ASSAM,3,BARPETA,3.0,12.7,-76,LD,1075.5,1548.8,-31,D
DISTRICT,ASSAM,5,BONGAIGAON,19.3,17.2,12,N,774.7,1740.4,-55,D
DISTRICT,ASSAM,6,CACHAR,13.4,13.3,1,N,1244.6,1285.2,-3,N
DISTRICT,ASSAM,7,CHARAIDEO,31.5,7.7,309,LE,1015.5,714.4,42,E
DISTRICT,ASSAM,8,CHIRANG,0.0,12.2,-100,NR,1047.3,1714.3,-39,D
DISTRICT,ASSAM,9,DARRANG,0.0,4.4,-100,NR,513.8,944.9,-46,D
DISTRICT,ASSAM,10,DHEMAJI,72.8,9.7,651,LE,1699.7,1447.3,17,N
DISTRICT,ASSAM,11,DHUBRI,20.1,10.6,89,LE,1043.0,1555.2,-33,D
DISTRICT,ASSAM,12,DIBRUGARH,11.7,8.9,31,E,875.4,1047.7,-16,N
DISTRICT,ASSAM,13,DIMA HASAO,7.5,6.0,25,E,333.9,752.8,-56,D
DISTRICT,ASSAM,14,GOALPARA,43.7,13.6,222,LE,665.6,1466.6,-55,D
DISTRICT,ASSAM,15,GOLAGHAT,3.8,6.7,-43,D,659.7,728.7,-9,N
DISTRICT,ASSAM,16,HAILAKANDI,9.5,13.3,-28,D,873.0,1095.6,-20,D
DISTRICT,ASSAM,17,HOJAI,4.5,2.5,80,LE,336.0,520.3,-35,D
