record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,9.7,12.6,-23,D,824.6,804.6,2,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,0.0,8.2,-100,NR,245.7,545.4,-55,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,16.0,13.6,18,N,1307.4,939.6,39,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,8.8,14.4,-39,D,655.4,817.5,-20,D
STATE,ARUNACHAL PRADESH,,,6.2,13.0,-53,D,582.4,983.9,-41,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,9.4,-100,NR,111.2,956.3,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.0,9.9,-100,NR,627.2,779.2,-20,D
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,5.0,9.2,-46,D,847.1,708.0,20,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,1.5,30.8,-95,LD,1471.1,1906.6,-23,D
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,2.5,12.1,-79,LD,298.7,665.2,-55,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,0.2,10.8,-98,LD,587.1,930.9,-37,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,1.1,12.0,-91,LD,231.4,396.2,-42,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,42.9,14.4,198,LE,1076.7,1317.2,-18,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,1.6,6.0,-73,LD,175.6,538.4,-67,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,44.0,14.6,201,LE,1292.0,1167.9,11,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,3.8,11.5,-67,LD,747.1,1005.5,-26,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,7.3,-100,NR,216.6,548.5,-61,LD
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,7.1,12.8,-45,D,267.8,961.9,-72,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.5,23.8,-98,LD,381.1,1184.6,-68,LD
STATE,ASSAM & MEGHALAYA,,,9.8,12.6,-22,D,635.4,1038.9,-39,D
STATE,ASSAM,,,11.9,10.3,15,N,621.0,860.7,-28,D
DISTRICT,ASSAM,1,BAJALI,5.5,11.2,-51,D,786.5,1336.8,-41,D
DISTRICT,ASSAM,2,BAKSA,27.9,13.0,115,LE,818.3,978.6,-16,N
DISTRICT,ASSAM,3,BARPETA,31.9,11.2,185,LE,935.6,1336.8,-30,D
