record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,40.0,14.5,176,LE,959.5,893.0,7,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,53.5,7.8,585,LE,376.7,601.9,-37,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,49.0,17.6,178,LE,1450.9,1050.6,38,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,22.0,15.1,45,E,783.2,900.8,-13,N
STATE,ARUNACHAL PRADESH,,,0.3,9.8,-97,LD,665.5,1053.6,-37,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,1.5,7.0,-79,LD,120.4,1029.8,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.8,7.0,-89,LD,684.9,841.0,-19,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,0.0,7.6,-100,NR,983.4,756.6,30,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.2,10.0,-98,LD,1656.6,2032.0,-18,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,0.0,3.6,-100,NR,368.4,713.4,-48,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,0.1,8.0,-99,LD,657.5,1004.4,-35,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,0.0,5.5,-100,NR,281.1,463.9,-39,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,2.3,12.1,-81,LD,1244.9,1436.8,-13,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,0.0,5.8,-100,NR,206.2,590.5,-65,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,0.0,12.5,-100,NR,1381.7,1254.9,10,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,0.0,2.6,-100,NR,817.3,1038.2,-21,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,9.0,-100,NR,264.1,587.0,-55,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,0.0,12.6,-100,NR,327.6,1056.2,-69,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.0,20.8,-100,NR,478.3,1277.2,-63,LD
STATE,ASSAM & MEGHALAYA,,,4.0,10.3,-62,LD,723.4,1120.7,-35,D
STATE,ASSAM,,,3.6,9.6,-63,LD,712.3,931.4,-24,D
DISTRICT,ASSAM,1,BAJALI,0.0,8.7,-100,NR,865.5,1407.5,-39,D
DISTRICT,ASSAM,2,BAKSA,6.1,4.4,39,E,884.0,1031.6,-14,N
DISTRICT,ASSAM,3,BARPETA,0.0,8.7,-100,NR,1025.5,1407.5,-27,D
DISTRICT,ASSAM,5,BONGAIGAON,0.0,7.5,-100,NR,707.6,1566.5,-55,D
DISTRICT,ASSAM,6,CACHAR,11.3,14.2,-21,D,1117.9,1126.1,-1,N
DISTRICT,ASSAM,7,CHARAIDEO,0.0,10.9,-100,NR,829.0,588.2,41,E
DISTRICT,ASSAM,8,CHIRANG,0.0,4.7,-100,NR,957.8,1531.2,-37,D
DISTRICT,ASSAM,9,DARRANG,0.0,9.8,-100,NR,477.1,839.9,-43,D
DISTRICT,ASSAM,10,DHEMAJI,0.0,13.6,-100,NR,1475.1,1273.6,16,N
DISTRICT,ASSAM,11,DHUBRI,0.0,9.9,-100,NR,998.1,1390.3,-28,D
DISTRICT,ASSAM,12,DIBRUGARH,0.5,8.3,-94,LD,803.9,918.0,-12,N
DISTRICT,ASSAM,13,DIMA HASAO,0.9,3.7,-76,LD,290.2,685.5,-58,D
DISTRICT,ASSAM,14,GOALPARA,0.3,10.5,-97,LD,577.0,1304.8,-56,D
DISTRICT,ASSAM,15,GOLAGHAT,9.1,12.2,-25,D,577.5,629.0,-8,N
DISTRICT,ASSAM,16,HAILAKANDI,4.2,14.5,-71,LD,720.6,951.8,-24,D
DISTRICT,ASSAM,17,HOJAI,0.3,12.1,-98,LD,245.6,453.5,-46,D
DISTRICT,ASSAM,18,JORHAT,4.1,13.0,-68,LD,582.2,747.6,-22,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,1.6,12.5,-88,LD,548.7,679.8,-19,N
DISTRICT,ASSAM,20,KAMRUP RURAL,0.0,6.8,-100,NR,351.2,832.8,-58,D
DISTRICT,ASSAM,21,KARBI ANGLONG,0.0,8.2,-100,NR,315.2,492.6,-36,D
DISTRICT,ASSAM,22,KOKRAJHAR,0.0,14.2,-100,NR,1732.7,1766.5,-2,N
DISTRICT,ASSAM,23,LAKHIMPUR,10.2,10.6,-4,N,1543.5,1242.9,24,E
DISTRICT,ASSAM,25,MORIGAON,0.0,7.3,-100,NR,371.6,680.0,-45,D
DISTRICT,ASSAM,26,NAGAON,0.0,7.9,-100,NR,298.1,626.4,-52,D
DISTRICT,ASSAM,27,NALBARI,0.3,9.3,-97,LD,402.1,1041.0,-61,LD
DISTRICT,ASSAM,28,SIBSAGAR,14.7,9.1,62,LE,514.1,727.3,-29,D
DISTRICT,ASSAM,29,SONITPUR,27.8,12.1,130,LE,735.6,727.4,1,N
DISTRICT,ASSAM,31,SRIBHUMI,15.2,12.4,22,E,1162.3,1372.2,-15,N
DISTRICT,ASSAM,32,TAMULPUR,0.0,5.8,-100,NR,891.6,919.7,-3,N
DISTRICT,ASSAM,33,TINSUKIA,0.0,8.8,-100,NR,902.8,894.9,1,N
DISTRICT,ASSAM,34,UDALGURI,0.0,9.1,-100,NR,426.0,942.1,-55,D
DISTRICT,ASSAM,35,WEST KARBI ANGLONG,0.0,7.8,-100,NR,369.4,438.0,-16,N
STATE,MEGHALAYA,,,5.2,12.8,-60,LD,759.0,1744.8,-57,D
DISTRICT,MEGHALAYA,1,EAST GARO HILLS,4.1,6.2,-34,D,507.1,1201.9,-58,D
DISTRICT,MEGHALAYA,2,EAST JAINTIA HILLS,2.3,19.9,-88,LD,1152.6,2974.2,-61,LD
DISTRICT,MEGHALAYA,3,EAST KHASI HILLS,9.4,23.4,-60,LD,1537.0,3002.9,-49,D
DISTRICT,MEGHALAYA,4,NORTH GARO HILLS,0.1,12.3,-99,LD,392.7,1118.5,-65,LD
DISTRICT,MEGHALAYA,5,RI BHOI,1.7,9.3,-81,LD,469.5,909.0,-48,D
DISTRICT,MEGHALAYA,6,SOUTH GARO HILLS,18.8,12.3,53,E,674.5,1118.5,-40,D
DISTRICT,MEGHALAYA,7,SOUTH WEST GARO HILLS,0.3,12.3,-98,LD,491.2,1118.5,-56,D
DISTRICT,MEGHALAYA,8,SOUTH WEST KHASI HILLS,6.2,12.3,-50,D,2082.1,1118.5,86,LE
DISTRICT,MEGHALAYA,9,WEST GARO HILLS,3.1,7.6,-59,D,371.4,1192.0,-69,LD
DISTRICT,MEGHALAYA,10,WEST JAINTIA HILLS,0.7,19.9,-96,LD,668.5,2974.2,-78,LD
DISTRICT,MEGHALAYA,11,WEST KHASI HILLS,5.5,9.6,-42,D,510.9,1736.0,-71,LD
STATE,NMMT,,,11.7,11.0,7,N,636.4,783.6,-19,N
STATE,MIZORAM,,,17.9,12.2,47,E,747.9,941.7,-21,D
DISTRICT,MIZORAM,2,CHAMPHAI,22.5,8.6,162,LE,681.8,749.8,-9,N
DISTRICT,MIZORAM,3,KOLASIB,13.5,18.9,-29,D,777.5,986.2,-21,D
DISTRICT,MIZORAM,4,LAWNGTLAI,24.5,13.0,88,LE,895.0,1034.3,-13,N
DISTRICT,MIZORAM,5,LUNGLEI,19.9,13.7,45,E,810.8,1029.7,-21,D
DISTRICT,MIZORAM,6,MAMIT,10.3,8.9,15,N,491.1,897.4,-45,D
DISTRICT,MIZORAM,7,SAIHA,11.0,13.9,-21,D,774.7,1047.9,-26,D
DISTRICT,MIZORAM,8,SERCHHIP,16.8,8.8,91,LE,915.1,908.1,1,N
STATE,MANIPUR,,,2.7,10.1,-73,LD,411.4,647.3,-36,D
DISTRICT,MANIPUR,1,BISHNUPUR,0.0,10.7,-100,NR,311.4,700.9,-56,D
DISTRICT,MANIPUR,2,CHANDEL,4.7,10.7,-57,D,390.8,700.9,-44,D
DISTRICT,MANIPUR,3,CHURACHANDPUR,5.0,10.7,-53,D,178.5,700.9,-75,LD
DISTRICT,MANIPUR,4,IMPHAL EAST,0.3,4.8,-93,LD,372.1,461.1,-19,N
DISTRICT,MANIPUR,5,IMPHAL WEST,0.0,18.3,-100,NR,507.6,1033.0,-51,D
DISTRICT,MANIPUR,6,SENAPATI,3.0,8.8,-66,LD,464.1,482.2,-4,N
DISTRICT,MANIPUR,7,TAMENGLONG,0.0,0.3,-100,NR,1327.0,2718.7,-51,D
DISTRICT,MANIPUR,8,THOUBAL,0.0,4.8,-100,NR,201.7,461.1,-56,D
DISTRICT,MANIPUR,9,UKHRUL,0.0,10.8,-100,NR,652.4,696.5,-6,N
STATE,TRIPURA,,,11.6,10.5,10,N,754.3,883.1,-15,N
DISTRICT,TRIPURA,1,DHALAI,5.2,12.0,-57,D,776.4,830.6,-7,N
DISTRICT,TRIPURA,2,GOMATI,9.7,7.9,23,E,668.9,913.1,-27,D
DISTRICT,TRIPURA,3,KHOWAI,2.0,12.0,-83,LD,782.4,826.4,-5,N
DISTRICT,TRIPURA,4,NORTH TRIPURA,10.1,15.1,-33,D,706.3,834.7,-15,N
DISTRICT,TRIPURA,5,SIPAHIJALA,24.7,5.9,319,LE,735.7,848.4,-13,N
DISTRICT,TRIPURA,6,SOUTH TRIPURA,20.2,10.4,94,LE,752.3,1110.5,-32,D
DISTRICT,TRIPURA,7,UNAKOTI,11.4,10.7,7,N,875.0,883.9,-1,N
DISTRICT,TRIPURA,8,WEST TRIPURA,14.7,7.8,89,LE,827.2,771.0,7,N
STATE,NAGALAND,,,18.4,10.3,79,LE,670.1,626.4,7,N
