record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,1.6,11.6,-86,LD,769.3,687.4,12,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,0.0,10.0,-100,NR,228.6,463.0,-51,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,0.0,13.6,-100,NR,1206.4,803.1,50,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,4.3,10.4,-59,D,626.3,699.8,-11,N
STATE,ARUNACHAL PRADESH,,,8.2,17.2,-53,D,413.5,848.1,-51,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,4.8,23.3,-79,LD,67.2,778.9,-91,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,3.2,14.6,-78,LD,582.9,679.3,-14,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,23.4,10.6,120,LE,823.7,606.8,36,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.4,37.0,-99,LD,1380.9,1617.3,-15,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,0.0,14.0,-100,NR,232.6,533.6,-56,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,21.9,16.6,32,E,541.3,804.5,-33,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,2.8,9.4,-70,LD,211.6,328.8,-36,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,52.4,21.9,139,LE,908.3,1171.1,-22,D
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,8.9,9.6,-7,N,141.9,456.6,-69,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,35.0,22.8,54,E,1122.7,984.7,14,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,0.0,17.0,-100,NR,467.8,919.0,-49,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,7.4,-100,NR,214.4,479.1,-55,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,1.9,13.3,-86,LD,234.3,823.6,-72,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.0,25.0,-100,NR,367.7,984.3,-63,LD
STATE,ASSAM & MEGHALAYA,,,14.6,15.8,-7,N,571.0,896.3,-36,D
STATE,ASSAM,,,16.5,12.1,36,E,548.0,747.4,-27,D
DISTRICT,ASSAM,1,BAJALI,0.5,17.0,-97,LD,666.5,1185.3,-44,D
DISTRICT,ASSAM,2,BAKSA,4.5,13.1,-66,LD,713.6,856.4,-17,N
DISTRICT,ASSAM,3,BARPETA,0.7,17.0,-96,LD,796.3,1185.3,-33,D
DISTRICT,ASSAM,5,BONGAIGAON,11.6,19.2,-40,D,618.2,1337.6,-54,D
DISTRICT,ASSAM,6,CACHAR,31.7,15.3,107,LE,840.5,881.7,-5,N
DISTRICT,ASSAM,7,CHARAIDEO,30.0,9.2,226,LE,679.5,452.3,50,E
DISTRICT,ASSAM,8,CHIRANG,0.0,19.1,-100,NR,798.0,1275.8,-37,D
DISTRICT,ASSAM,9,DARRANG,52.6,6.5,709,LE,374.8,711.4,-47,D
DISTRICT,ASSAM,10,DHEMAJI,0.0,23.9,-100,NR,1269.7,1030.1,23,E
DISTRICT,ASSAM,11,DHUBRI,8.3,12.8,-35,D,806.4,1154.6,-30,D
DISTRICT,ASSAM,12,DIBRUGARH,14.1,14.4,-2,N,675.6,716.4,-6,N
DISTRICT,ASSAM,13,DIMA HASAO,11.6,4.9,137,LE,202.4,552.3,-63,LD
DISTRICT,ASSAM,14,GOALPARA,1.2,16.5,-93,LD,466.6,1063.7,-56,D
DISTRICT,ASSAM,15,GOLAGHAT,14.4,8.0,81,LE,399.9,490.3,-18,N
DISTRICT,ASSAM,16,HAILAKANDI,4.5,16.0,-72,LD,611.9,734.2,-17,N
DISTRICT,ASSAM,17,HOJAI,12.8,4.7,171,LE,201.5,338.9,-41,D
DISTRICT,ASSAM,18,JORHAT,4.3,9.9,-56,D,434.4,588.1,-26,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,20.5,5.5,272,LE,395.8,545.9,-28,D
DISTRICT,ASSAM,20,KAMRUP RURAL,17.6,9.5,85,LE,218.8,683.6,-68,LD
DISTRICT,ASSAM,21,KARBI ANGLONG,41.9,5.6,648,LE,224.5,372.1,-40,D
DISTRICT,ASSAM,22,KOKRAJHAR,0.4,27.3,-98,LD,1443.7,1414.8,2,N
DISTRICT,ASSAM,23,LAKHIMPUR,9.8,15.6,-37,D,1118.0,988.7,13,N
DISTRICT,ASSAM,24,MAJULI,0.0,9.9,-100,NR,545.0,588.1,-7,N
DISTRICT,ASSAM,25,MORIGAON,12.2,7.9,54,E,284.3,527.6,-46,D
DISTRICT,ASSAM,26,NAGAON,3.0,9.7,-69,LD,179.2,484.1,-63,LD
DISTRICT,ASSAM,27,NALBARI,10.1,13.6,-26,D,348.8,854.6,-59,D
DISTRICT,ASSAM,28,SIBSAGAR,0.2,9.3,-98,LD,392.3,565.6,-31,D
DISTRICT,ASSAM,29,SONITPUR,34.1,6.0,469,LE,445.0,579.1,-23,D
DISTRICT,ASSAM,31,SRIBHUMI,16.5,22.9,-28,D,955.2,1097.1,-13,N
DISTRICT,ASSAM,32,TAMULPUR,23.6,13.1,80,LE,708.0,767.3,-8,N
DISTRICT,ASSAM,33,TINSUKIA,7.7,14.4,-47,D,730.2,697.9,5,N
DISTRICT,ASSAM,34,UDALGURI,28.5,15.6,83,LE,307.3,787.0,-61,LD
