record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,3.8,12.3,-69,LD,1025.1,973.7,5,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,0.0,5.6,-100,NR,414.2,647.3,-36,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,6.7,15.0,-55,D,1526.8,1153.8,32,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,3.1,13.6,-77,LD,854.9,978.9,-13,N
STATE,ARUNACHAL PRADESH,,,1.5,11.0,-87,LD,688.3,1116.3,-38,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,7.0,-100,NR,124.2,1093.5,-89,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.0,11.0,-100,NR,713.0,898.7,-21,D
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,2.3,12.6,-82,LD,1004.7,812.7,24,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.0,22.1,-100,NR,1695.0,2144.9,-21,D
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,0.0,12.6,-100,NR,418.3,774.0,-46,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,0.3,15.4,-98,LD,672.4,1063.8,-37,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,3.8,7.3,-48,D,301.0,497.9,-40,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,2.4,12.4,-81,LD,1266.3,1508.3,-16,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,23.4,10.5,123,LE,259.2,644.6,-60,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,0.0,13.1,-100,NR,1503.7,1331.5,13,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,0.2,5.6,-96,LD,838.2,1101.4,-24,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,6.4,-100,NR,269.1,619.8,-57,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,0.5,16.9,-97,LD,346.4,1142.9,-70,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.9,5.4,-84,LD,485.4,1339.2,-64,LD
STATE,ASSAM & MEGHALAYA,,,1.5,14.5,-89,LD,758.9,1200.6,-37,D
STATE,ASSAM,,,0.9,11.9,-92,LD,749.8,1000.2,-25,D
DISTRICT,ASSAM,1,BAJALI,0.5,12.1,-96,LD,879.5,1472.0,-40,D
DISTRICT,ASSAM,2,BAKSA,1.8,8.1,-78,LD,903.1,1079.8,-16,N
DISTRICT,ASSAM,3,BARPETA,0.0,12.1,-99,LD,1055.2,1472.0,-28,D
DISTRICT,ASSAM,5,BONGAIGAON,0.5,22.3,-98,LD,726.7,1643.7,-56,D
DISTRICT,ASSAM,6,CACHAR,0.0,11.4,-100,NR,1169.5,1214.3,-4,N
DISTRICT,ASSAM,7,CHARAIDEO,0.0,8.8,-100,NR,849.0,655.7,29,E
DISTRICT,ASSAM,8,CHIRANG,0.9,14.8,-94,LD,1034.5,1616.2,-36,D
DISTRICT,ASSAM,9,DARRANG,0.0,7.9,-100,NR,493.6,898.3,-45,D
DISTRICT,ASSAM,10,DHEMAJI,0.0,12.4,-100,NR,1594.1,1384.9,15,N
DISTRICT,ASSAM,11,DHUBRI,2.5,25.5,-90,LD,1008.2,1493.9,-33,D
DISTRICT,ASSAM,12,DIBRUGARH,0.0,10.7,-100,NR,839.5,991.3,-15,N
DISTRICT,ASSAM,13,DIMA HASAO,0.0,8.6,-100,NR,305.8,725.2,-58,D
DISTRICT,ASSAM,14,GOALPARA,1.9,19.1,-90,LD,589.1,1388.5,-58,D
DISTRICT,ASSAM,15,GOLAGHAT,0.0,8.1,-100,NR,604.1,689.8,-12,N
