record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,22.7,13.7,66,LE,919.4,878.5,5,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,9.4,10.1,-7,N,323.3,594.1,-46,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,30.2,17.3,75,LE,1401.9,1033.0,36,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,22.7,12.2,86,LE,761.3,885.7,-14,N
STATE,ARUNACHAL PRADESH,,,1.6,9.0,-82,LD,665.2,1043.8,-36,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,6.5,-100,NR,118.9,1022.8,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.0,7.7,-100,NR,684.1,834.0,-18,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,2.1,8.0,-74,LD,983.4,749.0,31,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.0,18.2,-100,NR,1656.4,2022.0,-18,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,0.0,2.9,-100,NR,368.4,709.8,-48,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,0.0,12.8,-100,NR,657.4,996.4,-34,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,0.6,15.9,-96,LD,281.1,458.4,-39,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,0.0,12.1,-100,NR,1242.6,1424.7,-13,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,3.6,7.7,-53,D,206.2,584.7,-65,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,0.0,9.5,-100,NR,1381.7,1242.4,11,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,0.4,1.9,-79,LD,817.3,1035.6,-21,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,2.5,-100,NR,264.1,578.0,-54,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,9.6,13.4,-29,D,327.6,1043.6,-69,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.0,15.1,-100,NR,478.3,1256.4,-62,LD
STATE,ASSAM & MEGHALAYA,,,5.6,10.6,-47,D,719.5,1110.4,-35,D
STATE,ASSAM,,,6.0,9.3,-35,D,708.8,921.8,-23,D
DISTRICT,ASSAM,1,BAJALI,1.5,10.9,-86,LD,865.5,1398.8,-38,D
DISTRICT,ASSAM,2,BAKSA,11.1,6.6,68,LE,877.9,1027.2,-15,N
DISTRICT,ASSAM,3,BARPETA,1.1,10.9,-90,LD,1025.5,1398.8,-27,D
DISTRICT,ASSAM,5,BONGAIGAON,0.0,12.6,-100,NR,707.6,1559.0,-55,D
DISTRICT,ASSAM,6,CACHAR,4.3,10.2,-57,D,1106.6,1111.9,0,N
DISTRICT,ASSAM,7,CHARAIDEO,0.0,5.9,-100,NR,829.0,577.3,44,E
DISTRICT,ASSAM,8,CHIRANG,1.0,12.7,-92,LD,957.8,1526.5,-37,D
DISTRICT,ASSAM,9,DARRANG,0.0,5.9,-100,NR,477.1,830.1,-43,D
DISTRICT,ASSAM,10,DHEMAJI,0.0,8.6,-100,NR,1475.1,1260.0,17,N
DISTRICT,ASSAM,11,DHUBRI,22.8,17.0,34,E,998.1,1380.4,-28,D
DISTRICT,ASSAM,12,DIBRUGARH,0.0,14.1,-100,NR,803.4,909.7,-12,N
DISTRICT,ASSAM,13,DIMA HASAO,8.4,4.6,83,LE,289.4,681.8,-58,D
DISTRICT,ASSAM,14,GOALPARA,2.1,11.0,-81,LD,576.7,1294.3,-55,D
DISTRICT,ASSAM,15,GOLAGHAT,0.6,7.4,-92,LD,568.3,616.8,-8,N
DISTRICT,ASSAM,16,HAILAKANDI,4.0,11.3,-65,LD,716.4,937.3,-24,D
DISTRICT,ASSAM,17,HOJAI,1.9,4.3,-57,D,245.3,441.4,-44,D
DISTRICT,ASSAM,18,JORHAT,0.2,9.9,-98,LD,578.1,734.6,-21,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,0.7,7.1,-90,LD,547.2,667.3,-18,N
DISTRICT,ASSAM,20,KAMRUP RURAL,0.5,8.2,-94,LD,351.2,826.0,-57,D
DISTRICT,ASSAM,21,KARBI ANGLONG,1.6,7.1,-77,LD,315.2,484.4,-35,D
DISTRICT,ASSAM,22,KOKRAJHAR,88.4,11.3,682,LE,1732.7,1752.3,-1,N
DISTRICT,ASSAM,23,LAKHIMPUR,0.0,12.3,-100,NR,1533.3,1232.3,24,E
DISTRICT,ASSAM,25,MORIGAON,0.5,9.5,-95,LD,371.6,672.7,-45,D
DISTRICT,ASSAM,26,NAGAON,0.3,6.6,-95,LD,298.1,618.5,-52,D
DISTRICT,ASSAM,27,NALBARI,0.1,8.2,-99,LD,401.8,1031.7,-61,LD
DISTRICT,ASSAM,28,SIBSAGAR,0.0,9.0,-100,NR,499.4,718.2,-30,D
DISTRICT,ASSAM,29,SONITPUR,9.5,8.8,8,N,707.8,715.3,-1,N
DISTRICT,ASSAM,31,SRIBHUMI,8.0,13.8,-42,D,1147.1,1359.8,-16,N
DISTRICT,ASSAM,32,TAMULPUR,0.2,8.7,-98,LD,891.6,913.9,-2,N
DISTRICT,ASSAM,33,TINSUKIA,0.0,12.2,-100,NR,902.8,886.1,2,N
DISTRICT,ASSAM,34,UDALGURI,1.0,8.6,-88,LD,426.0,933.0,-54,D
DISTRICT,ASSAM,35,WEST KARBI ANGLONG,0.0,5.9,-100,NR,369.4,430.2,-14,N
STATE,MEGHALAYA,,,4.3,14.9,-71,LD,753.8,1732.0,-56,D
DISTRICT,MEGHALAYA,1,EAST GARO HILLS,4.7,7.4,-37,D,503.0,1195.7,-58,D
DISTRICT,MEGHALAYA,2,EAST JAINTIA HILLS,5.8,17.6,-67,LD,1150.3,2954.3,-61,LD
DISTRICT,MEGHALAYA,3,EAST KHASI HILLS,4.0,21.1,-81,LD,1527.6,2979.5,-49,D
DISTRICT,MEGHALAYA,4,NORTH GARO HILLS,2.0,14.2,-86,LD,392.5,1106.2,-65,LD
DISTRICT,MEGHALAYA,5,RI BHOI,0.3,10.3,-97,LD,467.8,899.7,-48,D
DISTRICT,MEGHALAYA,6,SOUTH GARO HILLS,10.4,14.2,-27,D,655.7,1106.2,-41,D
DISTRICT,MEGHALAYA,7,SOUTH WEST GARO HILLS,0.3,14.2,-98,LD,490.9,1106.2,-56,D
DISTRICT,MEGHALAYA,8,SOUTH WEST KHASI HILLS,6.4,14.2,-55,D,2075.9,1106.2,88,LE
DISTRICT,MEGHALAYA,9,WEST GARO HILLS,0.7,14.3,-95,LD,368.3,1184.4,-69,LD
DISTRICT,MEGHALAYA,10,WEST JAINTIA HILLS,1.0,17.6,-94,LD,667.7,2954.3,-77,LD
DISTRICT,MEGHALAYA,11,WEST KHASI HILLS,7.6,14.8,-48,D,505.4,1726.4,-71,LD
STATE,NMMT,,,23.6,10.6,122,LE,626.2,772.6,-19,N
STATE,MIZORAM,,,45.4,13.8,229,LE,733.1,929.5,-21,D
DISTRICT,MIZORAM,1,AIZAWL,41.9,13.8,204,LE,747.0,896.6,-17,N
DISTRICT,MIZORAM,2,CHAMPHAI,40.0,8.8,355,LE,659.3,741.2,-11,N
DISTRICT,MIZORAM,3,KOLASIB,20.4,16.3,25,E,764.0,967.3,-21,D
DISTRICT,MIZORAM,4,LAWNGTLAI,52.7,11.5,358,LE,870.5,1021.3,-15,N
DISTRICT,MIZORAM,5,LUNGLEI,46.3,17.4,166,LE,791.0,1016.0,-22,D
DISTRICT,MIZORAM,6,MAMIT,36.2,15.6,132,LE,480.8,888.5,-46,D
DISTRICT,MIZORAM,7,SAIHA,89.5,13.3,573,LE,763.7,1034.0,-26,D
