record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,8.5,10.3,-17,N,783.3,739.5,6,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,0.0,7.3,-100,NR,235.6,504.9,-53,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,17.8,13.8,29,E,1227.1,862.5,42,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,3.7,8.2,-54,D,637.3,750.1,-15,N
STATE,ARUNACHAL PRADESH,,,0.8,14.3,-94,LD,556.2,913.3,-39,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,0.0,16.7,-100,NR,103.4,875.7,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.0,9.4,-100,NR,603.1,729.2,-17,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,0.0,11.9,-100,NR,836.0,651.8,28,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.0,28.6,-100,NR,1466.1,1759.0,-17,N
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,0.0,7.7,-100,NR,269.9,590.7,-54,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,0.0,16.6,-100,NR,552.5,867.3,-36,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,0.0,2.8,-100,NR,215.8,350.5,-38,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,1.3,17.7,-93,LD,941.0,1237.4,-24,D
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,0.0,8.6,-100,NR,148.3,496.6,-70,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,11.5,26.4,-56,D,1187.4,1082.5,10,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,0.0,12.1,-100,NR,720.1,957.2,-25,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,5.5,-100,NR,214.4,512.7,-58,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,1.9,13.8,-86,LD,243.4,889.9,-73,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,0.0,20.4,-100,NR,370.2,1072.1,-65,LD
STATE,ASSAM & MEGHALAYA,,,6.3,16.7,-62,LD,593.8,962.8,-38,D
STATE,ASSAM,,,7.6,13.3,-43,D,572.1,801.7,-29,D
DISTRICT,ASSAM,1,BAJALI,1.5,16.7,-91,LD,668.5,1266.2,-47,D
