record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,12.2,13.6,-11,N,836.8,818.2,2,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,0.3,9.9,-97,LD,246.0,555.3,-56,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,14.8,15.3,-3,N,1322.1,954.9,38,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,16.6,14.0,19,N,672.0,831.5,-19,N
STATE,ARUNACHAL PRADESH,,,17.9,10.5,70,LE,600.1,994.4,-40,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,3.7,6.5,-44,D,114.8,962.8,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,13.3,10.9,22,E,640.5,790.1,-19,N
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,28.5,9.3,206,LE,875.6,717.3,22,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,40.5,18.4,120,LE,1511.6,1925.0,-21,D
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,1.5,13.7,-89,LD,300.2,678.9,-56,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,11.9,7.4,61,LE,598.9,938.3,-36,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,0.7,14.4,-95,LD,232.1,410.6,-43,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,21.3,12.2,75,LE,1098.0,1329.4,-17,N
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,0.8,12.7,-94,LD,176.4,551.1,-68,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,8.5,15.4,-45,D,1300.5,1183.3,10,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,20.1,8.7,131,LE,767.2,1014.2,-24,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,11.7,5.2,124,LE,228.3,553.7,-59,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,6.4,13.7,-53,D,273.0,975.6,-72,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,31.3,12.4,152,LE,412.3,1197.0,-66,LD
STATE,ASSAM & MEGHALAYA,,,15.2,12.5,22,E,653.8,1051.4,-38,D
STATE,ASSAM,,,15.8,10.3,53,E,640.9,871.0,-26,D
DISTRICT,ASSAM,1,BAJALI,13.5,11.5,17,N,800.0,1348.3,-41,D
DISTRICT,ASSAM,2,BAKSA,8.7,8.8,-1,N,826.9,987.4,-16,N
DISTRICT,ASSAM,3,BARPETA,29.4,11.5,155,LE,965.0,1348.3,-28,D
DISTRICT,ASSAM,5,BONGAIGAON,27.4,13.8,99,LE,675.6,1505.1,-55,D
DISTRICT,ASSAM,6,CACHAR,24.8,13.1,90,LE,995.4,1038.2,-4,N
DISTRICT,ASSAM,7,CHARAIDEO,11.5,4.7,145,LE,797.0,531.4,50,E
DISTRICT,ASSAM,8,CHIRANG,15.0,10.0,50,E,837.8,1464.4,-43,D
DISTRICT,ASSAM,9,DARRANG,1.7,7.7,-78,LD,398.9,791.1,-50,D
DISTRICT,ASSAM,10,DHEMAJI,58.4,13.6,329,LE,1380.7,1204.2,15,N
DISTRICT,ASSAM,11,DHUBRI,20.3,13.9,46,E,850.1,1314.5,-35,D
DISTRICT,ASSAM,12,DIBRUGARH,23.8,7.8,205,LE,749.0,852.3,-12,N
DISTRICT,ASSAM,13,DIMA HASAO,0.0,8.5,-100,NR,260.2,639.3,-59,D
DISTRICT,ASSAM,14,GOALPARA,15.8,13.8,14,N,533.5,1240.0,-57,D
DISTRICT,ASSAM,15,GOLAGHAT,17.9,7.1,152,LE,480.4,580.2,-17,N
DISTRICT,ASSAM,16,HAILAKANDI,1.6,12.1,-87,LD,700.7,874.7,-20,D
DISTRICT,ASSAM,17,HOJAI,0.0,7.4,-100,NR,237.6,403.2,-41,D
DISTRICT,ASSAM,18,JORHAT,29.2,9.5,208,LE,507.0,688.6,-26,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,2.3,7.2,-68,LD,481.5,632.1,-24,D
DISTRICT,ASSAM,20,KAMRUP RURAL,4.6,9.7,-52,D,277.5,774.2,-64,LD
DISTRICT,ASSAM,21,KARBI ANGLONG,1.1,6.7,-84,LD,284.5,448.2,-37,D
DISTRICT,ASSAM,22,KOKRAJHAR,21.3,28.2,-25,D,1505.7,1662.5,-9,N
DISTRICT,ASSAM,23,LAKHIMPUR,65.9,14.0,371,LE,1403.0,1168.7,20,E
DISTRICT,ASSAM,24,MAJULI,56.0,9.5,489,LE,949.0,688.6,38,E
