record_type,state,district_no,district,daily_actual,daily_normal,daily_departure,daily_category,season_actual,season_normal,season_departure,season_category
STATE,ANDAMAN & NICOBAR ISLANDS,,,1.6,13.2,-88,LD,807.0,777.0,4,N
DISTRICT,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,6.5,7.4,-13,N,243.4,525.3,-54,D
DISTRICT,ANDAMAN & NICOBAR ISLANDS,2,NORTH & MIDDLE ANDAMAN,0.2,16.0,-99,LD,1273.8,908.3,40,E
DISTRICT,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,0.0,13.6,-100,NR,645.7,789.2,-18,N
STATE,ARUNACHAL PRADESH,,,9.1,15.0,-39,D,568.5,957.2,-41,D
DISTRICT,ARUNACHAL PRADESH,1,ANJAW,3.6,25.9,-86,LD,109.4,937.2,-88,LD
DISTRICT,ARUNACHAL PRADESH,2,CHANGLANG,0.0,8.8,-100,NR,603.1,759.1,-21,D
DISTRICT,ARUNACHAL PRADESH,4,EAST KAMENG,1.8,11.7,-85,LD,837.8,685.7,22,E
DISTRICT,ARUNACHAL PRADESH,5,EAST SIANG,0.5,24.1,-98,LD,1467.6,1844.8,-20,D
DISTRICT,ARUNACHAL PRADESH,6,KURUNG KUMEY,22.0,11.3,95,LE,293.4,635.7,-54,D
DISTRICT,ARUNACHAL PRADESH,7,LOHIT,5.7,10.9,-48,D,563.9,908.5,-38,D
DISTRICT,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,6.5,8.1,-20,D,227.0,374.0,-39,D
DISTRICT,ARUNACHAL PRADESH,10,PAPUMPARA,68.2,24.4,180,LE,1014.2,1288.3,-21,D
DISTRICT,ARUNACHAL PRADESH,11,TAWANG,6.6,9.0,-27,D,165.1,525.4,-69,LD
DISTRICT,ARUNACHAL PRADESH,12,TIRAP,22.5,17.4,29,E,1226.9,1136.3,8,N
DISTRICT,ARUNACHAL PRADESH,13,UPPER SIANG,11.2,12.1,-7,N,731.3,986.5,-26,D
DISTRICT,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0.0,6.5,-100,NR,216.6,534.1,-59,D
DISTRICT,ARUNACHAL PRADESH,15,WEST KAMENG,7.6,11.6,-35,D,259.0,934.7,-72,LD
DISTRICT,ARUNACHAL PRADESH,16,WEST SIANG,9.1,20.1,-55,D,379.3,1136.7,-67,LD
STATE,ASSAM & MEGHALAYA,,,14.0,16.7,-16,N,612.5,1013.0,-40,D
STATE,ASSAM,,,17.2,12.9,34,E,594.4,839.6,-29,D
DISTRICT,ASSAM,1,BAJALI,101.0,11.4,786,LE,769.5,1307.9,-41,D
DISTRICT,ASSAM,2,BAKSA,50.3,13.4,275,LE,768.8,957.2,-20,D
DISTRICT,ASSAM,3,BARPETA,19.5,11.4,71,LE,820.6,1307.9,-37,D
DISTRICT,ASSAM,5,BONGAIGAON,4.6,31.8,-86,LD,622.8,1458.3,-57,D
DISTRICT,ASSAM,6,CACHAR,52.1,19.9,162,LE,930.5,997.5,-7,N
DISTRICT,ASSAM,7,CHARAIDEO,0.0,11.8,-100,NR,707.5,518.8,36,E
DISTRICT,ASSAM,8,CHIRANG,6.0,13.4,-55,D,804.0,1434.8,-44,D
DISTRICT,ASSAM,9,DARRANG,0.8,8.7,-91,LD,387.0,769.2,-50,D
DISTRICT,ASSAM,10,DHEMAJI,0.0,15.4,-100,NR,1271.3,1162.9,9,N
DISTRICT,ASSAM,11,DHUBRI,8.3,15.5,-47,D,825.6,1279.7,-35,D
DISTRICT,ASSAM,12,DIBRUGARH,0.8,12.7,-94,LD,695.7,817.9,-15,N
DISTRICT,ASSAM,13,DIMA HASAO,44.0,8.5,418,LE,257.0,620.7,-59,D
DISTRICT,ASSAM,14,GOALPARA,30.0,16.9,78,LE,506.1,1197.0,-58,D
DISTRICT,ASSAM,15,GOLAGHAT,4.2,9.8,-57,D,436.7,561.1,-22,D
DISTRICT,ASSAM,16,HAILAKANDI,9.2,12.5,-26,D,670.2,840.0,-20,D
DISTRICT,ASSAM,17,HOJAI,27.3,4.4,520,LE,237.1,382.0,-38,D
DISTRICT,ASSAM,18,JORHAT,2.1,15.9,-87,LD,459.9,656.4,-30,D
DISTRICT,ASSAM,19,KAMRUP METROPOLITAN,1.8,10.1,-83,LD,453.3,611.4,-26,D
DISTRICT,ASSAM,20,KAMRUP RURAL,6.2,10.8,-42,D,250.6,751.2,-67,LD
DISTRICT,ASSAM,21,KARBI ANGLONG,12.5,8.7,44,E,283.1,427.5,-34,D
DISTRICT,ASSAM,22,KOKRAJHAR,13.9,25.0,-44,D,1461.7,1580.7,-8,N
DISTRICT,ASSAM,23,LAKHIMPUR,45.3,20.7,119,LE,1271.5,1124.0,13,N
DISTRICT,ASSAM,25,MORIGAON,2.7,10.5,-74,LD,314.3,597.7,-47,D
DISTRICT,ASSAM,26,NAGAON,19.6,8.1,141,LE,234.0,546.6,-57,D
DISTRICT,ASSAM,27,NALBARI,12.4,12.8,-4,N,372.6,958.4,-61,LD
DISTRICT,ASSAM,28,SIBSAGAR,13.7,10.3,33,E,427.3,644.2,-34,D
DISTRICT,ASSAM,29,SONITPUR,15.8,12.0,32,E,531.5,661.5,-20,D
DISTRICT,ASSAM,31,SRIBHUMI,9.3,12.1,-23,D,1011.2,1218.8,-17,N
DISTRICT,ASSAM,32,TAMULPUR,60.3,9.6,528,LE,787.1,850.5,-7,N
DISTRICT,ASSAM,33,TINSUKIA,0.9,15.6,-94,LD,772.0,792.5,-3,N
DISTRICT,ASSAM,34,UDALGURI,0.0,11.3,-100,NR,326.6,857.1,-62,LD
DISTRICT,ASSAM,35,WEST KARBI ANGLONG,40.4,6.1,562,LE,316.0,372.3,-15,N
STATE,MEGHALAYA,,,4.0,29.2,-86,LD,670.4,1584.6,-58,D
